,,114年3月31日,,113年12月31日,,113年3月31日
應收帳款﹕,,,,,,
－關聯企業,,"$ 27,432,412
597,780
1,472,384
(893,034)",,,,
"流動
非流動",,,,"$ 36,563,591",,"$ 10,625,792"
,,,,-,,-
"－其他關係人
減:備抵損失",,,,"1,500,302",,"1,418,049"
,,,,"(886,502)",,"(852,525)"
小計,,"28,609,542",,"37,177,391",,"11,191,316"
其他應收款-,,,,,,
出售不動產、廠房及設備：,,,,,,
－關聯企業,,"45,337",,"46,232",,"58,461"
－其他關係人,,-,,"1,122",,-
其他應收款-代關係人採購款：,,,,,,
－關聯企業,,"4,914,493",,"3,778,906",,"2,240,195"
－其他關係人,,"2,593",,"2,675",,"2,878"
其他應收款-應收股利：,,,,,,
－關聯企業,,"2,836,566",,-,,"2,371,888"
其他應收款-處分投資款：,,,,,,
－關聯企業,,"234,203",,"231,241",,"338,505"
,,,,,,
,,,,,,"-
-
674,442"
,,,,,,
,,-,,"7,584,296",,
,,"473,233",,"466,624",,
,,-,,"731,389",,
,,"8,506,425",,"12,842,485",,"5,686,369"
,,"$ 37,115,967",,"$ 50,019,876",,"$ 16,877,685"
