投資公司名稱,被投資公司名稱,所在地區,主要營業項目,原始投資金額,,期末持有,,,"被投資公司
本期(損)益","本期認列之
投資(損)益",備註
,,,,本期期末,去年年底,單位及股數,比率,帳面金額,,,
聯發科技(股)公司,達發科技(股)公司,台灣,研發、生產及銷售,"$ 9,378,890","$ 9,378,890","111,235,745",66%,"$ 12,659,605","$ 730,152","$ 483,015",註1
聯發科技(股)公司,九暘電子(股)公司,台灣,研發、生產及銷售,"$ 300,370","$ 300,370","13,125,454",14%,"$ 1,133,091","$ (8,834)","$ (3,842)",註1
聯發科技(股)公司,寰發(股)公司,台灣,智慧財產權管理,"$ 2,118,755","$ 2,118,755","211,875,530",100%,"$ 2,394,046","$ 92,445","$ 82,647",註1
聯發科技(股)公司,旭源投資(股)公司,台灣,投資業務,"$ 2,500,000","$ 2,500,000","250,000,000",100%,"$ 2,456,677","$ 5,366","$ 5,366",註1
聯發科技(股)公司,"MStar Co., Ltd.",塞席爾,投資業務,"$ 526,142","$ 526,142","13,350,000",100%,"$ 167,583","$ 4,132","$ 4,132",註1
聯發科技(股)公司,MediaTek Japan Inc.,日本,技術服務,"$ 38,558","$ 38,558","7,100",100%,"$ 49,958","$ 1,776","$ 1,776",註1
聯發科技(股)公司,MediaTek Korea Inc.,南韓,研發,"$ 192,883","$ 192,883","200,000",100%,"$ 214,374","$ 8,419","$ 8,419",註1
聯發科技(股)公司,MediaTek Research UK Limited,英國,研發,"$ 24,363","$ 24,363","280,000",100%,"$ 55,926","$ 1,295","$ 1,295",註1
聯發科技(股)公司,MediaTek Investment Singapore Pte. Ltd.,新加坡,投資業務,"$ 23,989,873","$ 28,303,703","1,440,845,498",100%,"$ 217,309,857","$ 2,342,678","$ 2,342,678",註1
聯發科技(股)公司,MediaTek Singapore Pte. Ltd.,新加坡,研發、生產及銷售,"$ 4,137,594","$ 4,137,594","187,513,879",100%,"$ 88,214,197","$ 14,838,111","$ 14,840,859",註1
聯發科技(股)公司,Spidcom Technologies,法國,智慧財產權管理,"$ 4,722","$ 4,722","146,200",100%,$ -,$ -,$ -,註1
聯發科技(股)公司,MediaTek Bangalore Private Limited,印度,研發,"$ 581,508","$ 581,508","1,999,999",100%,"$ 1,351,861","$ 79,277","$ 79,277",註1
聯發科技(股)公司,聯發資本(股)公司,台灣,投資業務,"$ 19,364,634","$ 19,364,634","1,872,614,808",100%,"$ 9,207,242","$ 324,933","$ 98,905",註1
聯發科技(股)公司,立錡科技(股)公司,台灣,研發、生產及銷售,"$ 21,221,922","$ 21,221,922","148,482,806",100%,"$ 15,912,912","$ 497,357","$ 442,512",註1
MediaTek Singapore Pte. Ltd.,MaiSys Design Technology SG Pte. Ltd.,新加坡,研發,USD 750,USD 750,"750,001",100%,USD 617,USD (5),-,註1
MediaTek Singapore Pte. Ltd.,聯發科香港投資有限公司,香港,投資業務,"USD 507,100","USD 507,100","554,587,474",100%,"USD 549,932","USD 3,965",-,註1
MediaTek Investment Singapore Pte. Ltd.,Gaintech Co. Limited,開曼群島,投資業務,"USD 2,660,900","USD 2,660,900","1,123,172,524",100%,"USD 6,520,179","USD 71,701",-,註1
Digimoc Holdings Limited,Cloud Ranger Limited,薩摩亞,投資業務,"USD 57,662","USD 57,662","23,139,000",100%,"USD 44,975",USD 10,-,註1
Digimoc Holdings Limited,Gold Rich International (Samoa) Limited,薩摩亞,投資業務,"USD 448,441","USD 448,441","4,290,000",100%,"USD 133,378","USD (42,421)",-,註1
Digimoc Holdings Limited,MediaTek India Technology Pvt. Ltd.,印度,研發,USD 0,USD 0,1,0%,USD 0,"INR 58,526",-,註1
Digimoc Holdings Limited,Intelligo Technology Inc.,開曼群島,研發、生產及銷售,"USD 12,168","USD 3,168","6,506,162",16%,"USD 15,087","USD 2,211",-,-
聯發資本(股)公司,達發科技(股)公司,台灣,研發、生產及銷售,"$ 723,403","$ 723,403","6,000,000",4%,"$ 690,605","$ 730,152",-,註1
聯發資本(股)公司,翔發投資(股)公司,台灣,投資業務,"$ 16,222,537","$ 16,222,537","236,801,136",100%,"$ 16,757,969","$ 292,622",-,註1
聯發資本(股)公司,IStar Technology Ltd.,開曼群島,投資業務,"$ 4,036","$ 4,036","50,000",100%,"$ 3,946",$ -,-,註1
聯發資本(股)公司,MediaTek Bangalore Private Limited,印度,研發,$ 0,$ 0,1,0%,$ 0,"$ 79,277",-,註1
聯發資本(股)公司,鈺太科技(股)公司,台灣,研發、生產及銷售,"$ 1,770,600","$ 1,770,600","10,000,000",18%,"$ 1,837,248","$ 111,512",-,-
MediaTek Bangalore Private Limited,MediaTek India Technology Pvt. Ltd.,印度,研發,"INR 3,896,338","INR 3,896,338","5,499,999",100%,"INR 2,723,201","INR 58,526",-,註1
Gaintech Co. Limited,MediaTek Wireless FZ-LLC,阿拉伯聯合大公國,技術服務,USD 14,USD 14,50,100%,USD 541,USD 14,-,註1
Gaintech Co. Limited,MediaTek Global Holdings Limited,英國,投資業務,"USD 3,824,118","USD 3,894,118","3,824,118,214",100%,"USD 4,163,395","USD (17,879)",-,註1
Gaintech Co. Limited,聯發科中國有限公司,香港,投資業務,"USD 391,444","USD 391,444","3,044,078,500",100%,"USD 708,805","USD 11,180",-,註1
Gaintech Co. Limited,Sigmastar Technology Inc.,開曼群島,投資業務,USD 523,USD 523,"1,511,579",100%,"USD 283,301","USD 1,732",-,註1
Gaintech Co. Limited,MTK Wireless Limited,英國,研發,"USD 135,665","USD 135,665","84,394,826",100%,"USD 274,290","USD 3,567",-,註1
Gaintech Co. Limited,Nephos Cayman Co. Limited,開曼群島,投資業務,"USD 113,110","USD 113,110","113,110,426",100%,USD (932),USD 109,-,註1
Gaintech Co. Limited,Smarthead Limited,塞席爾,投資業務,USD 700,USD 700,"700,000",100%,"USD 2,016",USD 7,-,註1
Gaintech Co. Limited,"CMC Capital Investments, L.P.",開曼群島,投資業務,"USD 4,613","USD 4,613",-,67%,"USD 1,825",USD (848),-,-
Gaintech Co. Limited,"CSVI VENTURES, L.P.",開曼群島,投資業務,"USD 19,814","USD 19,814",-,43%,"USD 12,942",USD (132),-,-
Gaintech Co. Limited,Amobile Intelligent Corp. Limited,香港,研發、生產及銷售,"USD 4,885","USD 4,885","3,668,629",31%,"USD 4,154",USD (933),-,-
Smarthead Limited,MoMAGIC Technologies Private Limited,印度,軟件開發,USD 500,USD 500,"2,385,927",22%,"USD 1,836",USD (79),-,-
MediaTek Wireless FZ-LLC,MLINK INVESTMENTS-FZCO,阿拉伯聯合大公國,投資業務,"AED 25,708",AED -,500,100%,"AED 25,708",AED (50),-,註1及註2
