代碼,項 目,附 註,一一四年第一季,,一一三年第一季,
,,,金 額,%,金 額,%
"4000
5000
5900
6000
6100
6200
6300
6450
6900
7000
7100
7010
7020
7050
7060
7900
7950
8200
8300
8310
8316
8320
8349
8360
8361
8367
8370
8500
8600
8610
8620
8700
8710
8720
9750
9850","營業收入
營業成本
營業毛利
營業費用
推銷費用
管理費用
研究發展費用
預期信用減損(損失)利益
營業費用合計
營業利益
營業外收入及支出
利息收入
其他收入
其他利益及損失
財務成本
採用權益法認列之關聯企業及合資損益之份額
營業外收入及支出合計
稅前淨利
所得稅費用
本期淨利
其他綜合損益
不重分類至損益之項目
透過其他綜合損益按公允價值衡量之權益工具投資
未實現評價損益
採用權益法認列之關聯企業及合資之其他綜合損益
之份額
與不重分類項目相關之所得稅
後續可能重分類至損益之項目
國外營運機構財務報表換算之兌換差額
透過其他綜合損益按公允價值衡量之債務工具投資
未實現評價損益
採用權益法認列之關聯企業及合資之其他綜合損益
之份額
本期其他綜合損益(稅後淨額)
本期綜合損益總額
淨利歸屬於：
母公司業主
非控制權益
綜合損益總額歸屬於：
母公司業主
非控制權益
每股盈餘：
基本每股盈餘(元)
稀釋每股盈餘(元)","六.21及七
六.7、六.24及七
六.22、六.23、六.24及七
六.25
六.26及七
六.27
六.28
六.9
四及六.30
四、六.9、六.17、六.19、六.29及六.30
六.31
六.19
六.31","$ 153,312,237
(79,502,745)","100
(52)","$ 133,458,147
(63,557,617)","100
(48)"
,,,"73,809,492",48,"69,900,530",52
,,,"(4,989,022)
(2,984,500)
(35,782,070)
(609)","(3)
(2)
(23)
-","(3,806,233)
(2,820,094)
(31,146,829)
52,490","(3)
(2)
(23)
-"
,,,"(43,756,201)",(28),"(37,720,666)",(28)
,,,"30,053,291",20,"32,179,864",24
,,,"2,839,752
1,648,867
128,983
(195,566)
77,865","2
1
-
-
-","2,297,793
736,458
386,824
(58,111)
126,795","2
1
-
-
-"
,,,"4,499,901",3,"3,489,759",3
,,,"34,553,192
(5,024,263)","23
(4)","35,669,623
(4,014,816)","27
(3)"
,,,"29,528,929",19,"31,654,807",24
,,,"(3,464,135)
1,422
(52,047)
4,592,013
4,201
67,833","(2)
-
-
3
-
-","6,620,228
66,392
250,195
10,298,543
(2,321)
(135,530)","5
-
-
8
-
-"
,,,"1,149,287",1,"17,097,507",13
,,,"$ 30,678,216",20,"$ 48,752,314",37
,,,"$ 29,324,913
204,016",,"$ 31,535,653
119,154",
,,,"$ 29,528,929",,"$ 31,654,807",
,,,"$ 30,456,806
221,410",,"$ 48,619,979
132,335",
,,,"$ 30,678,216",,"$ 48,752,314",
,,,$ 18.43,,$ 19.85,
,,,$ 18.40,,$ 19.80,
,,,,,,
