帳列科目,有價證券,有價證券名稱,持有公司,期末,,,,
,,,,股數,帳面金額,"持股
比例",公允價值,備註
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,上海合見工業軟件集團有限公司,聯發軟件設計(深圳)有限公司,-,"CNY 114,489",-,"CNY 114,489",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,上海武岳峰浦江二期股權投資合夥企業(有限合夥),聯發科軟件(上海)有限公司,-,"CNY 171,725",-,"CNY 171,725",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,上海武岳峰集成電路股權投資合夥企業(有限合夥),Gaintech Co. Limited,-,"USD 80,083",-,"USD 80,083",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,上海華芯創業投資企業,Gaintech Co. Limited,-,"USD 33,384",-,"USD 33,384",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,京隆科技（蘇州）有限公司,聯發利寶(香港)有限公司,-,"CNY 182,335",-,"CNY 182,335",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,南京四維智聯科技有限公司,聯發軟件設計(深圳)有限公司,-,"CNY 405,455",-,"CNY 405,455",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,強一半導體(蘇州)有限公司,聯發利寶(香港)有限公司,-,"CNY 77,248",-,"CNY 77,248",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,昆橋(深圳)半導體科技產業股權投資基金合夥企業(有限合夥),合肥旭徽聯芯管理諮詢有限公司,-,"CNY 524,157",-,"CNY 524,157",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,昆橋二期(廈門)半導體產業股權投資合夥企業(有限合夥),合肥旭徽聯芯管理諮詢有限公司,-,"CNY 256,867",-,"CNY 256,867",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,湖北長江蔚來新能源產業發展基金合伙企業(有限合伙),聯發博動科技(北京)有限公司,-,"CNY 187,004",-,"CNY 187,004",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,資本,芯愛科技(南京)有限公司,聯發利寶(香港)有限公司,-,"CNY 75,488",-,"CNY 75,488",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,基金,"Fund issued by Cathay Financial Holdings Co., Ltd.",聯發科技(股)公司,-,"$ 2,205,875",-,"$ 2,205,875",-
透過其他綜合損益按公允價值衡量之權益工具－非流動,基金,"Fund issued by Fubon Financial Holding Co., Ltd.",聯發科技(股)公司,-,"$ 377,038",-,"$ 377,038",-
按攤銷後成本衡量之金融資產－流動,債券,Barclays Plc,Hsu Fa (Samoa) Investment Ltd.,-,"CNY 138,998",-,"CNY 139,809",-
按攤銷後成本衡量之金融資產－流動,債券,Citigroup Inc.,旭展(香港)投資有限公司,-,"USD 19,900",-,"USD 19,900",-
按攤銷後成本衡量之金融資產－流動,債券,Formosa Plastics Group,旭展(香港)投資有限公司,-,"USD 9,996",-,"USD 9,990",-
按攤銷後成本衡量之金融資產－流動,債券,Foxconn Technology Group,旭展(香港)投資有限公司,-,"USD 9,872",-,"USD 9,282",-
按攤銷後成本衡量之金融資產－流動,債券,International Business Machines Corporation,旭展(香港)投資有限公司,-,"USD 18,797",-,"USD 18,836",-
按攤銷後成本衡量之金融資產－流動,債券,JPMorgan Chase & Co.,旭展(香港)投資有限公司,-,"USD 19,800",-,"USD 20,289",-
按攤銷後成本衡量之金融資產－非流動,債券,"Advanced Micro Devices, Inc.",旭展(香港)投資有限公司,-,"USD 16,962",-,"USD 16,739",-
按攤銷後成本衡量之金融資產－非流動,債券,"Amazon.com, Inc.",旭展(香港)投資有限公司,-,"USD 42,637",-,"USD 41,824",-
按攤銷後成本衡量之金融資產－非流動,債券,Bank of America Corporation,Hsu Fa (Samoa) Investment Ltd.,-,"CNY 325,000",-,"CNY 324,727",-
按攤銷後成本衡量之金融資產－非流動,債券,Bank of America Corporation,旭展(香港)投資有限公司,-,"USD 111,410",-,"USD 109,601",-
按攤銷後成本衡量之金融資產－非流動,債券,BNP Paribas,旭展(香港)投資有限公司,-,"USD 15,470",-,"USD 14,995",-
