帳列應收款項之公司,交易對象名稱,關 係,應收關係人款項餘額,,週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額","提列備抵
呆帳金額"
,,,,,,金額,處理方式,,
聯發科技(股)公司,立錡科技(股)公司,子公司,"$ 1,189,747",(註 3),-,$ -,-,$ -,$ -
聯發科技(股)公司,達發科技(股)公司,子公司,"$ 1,423,151",(註1及註 3),-,$ -,-,$ 137,$ -
聯發科技(股)公司,MediaTek Singapore Pte. Ltd.,子公司,"$ 650,859",(註 1),-,$ -,-,$ -,$ -
聯發科技(股)公司,MediaTek Investment Singapore Pte. Ltd.,子公司,"$ 15,141,480",(註3及註 4),-,$ -,-,$ -,$ -
聯發科技(股)公司,擎發通訊科技(合肥)有限公司,子公司,"$ 516,650",(註 1),-,$ -,-,$ -,$ -
MediaTek Singapore Pte. Ltd.,聯發科技(股)有限公司,子公司,"$ 149,825",(註 1),-,$ -,-,"$ 149,825",$ -
MediaTek Singapore Pte. Ltd.,Gaintech Co. Limited,子公司,"$ 13,291,607",(註 2),-,$ -,-,$ -,$ -
MediaTek Investment Singapore Pte. Ltd.,Gaintech Co. Limited,子公司,"$ 14,676,610",(註 3),-,$ -,-,$ -,$ -
Digimoc Holdings Limited,Gaintech Co. Limited,子公司,"$ 4,353,176",(註 2),-,$ -,-,$ -,$ -
MediaTek Bangalore Private Limited,聯發科技(股)有限公司,子公司,"$ 305,346",(註 1),-,$ -,-,"$ 305,346",$ -
Gaintech Co. Limited,聯發科技(股)有限公司,子公司,"$ 69,398,450",(註 2),-,$ -,-,$ -,$ -
Cloud Ranger Limited,Gaintech Co. Limited,子公司,"$ 830,125",(註 2),-,$ -,-,$ -,$ -
MediaTek India Technology Pvt. Ltd.,聯發科技(股)有限公司,子公司,"$ 126,468",(註 1),-,$ -,-,"$ 126,468",$ -
Hsu Fa (Samoa) Investment Ltd.,聯發芯軟件設計(成都)有限公司,子公司,"$ 322,173",(註 2),-,$ -,-,$ -,$ -
Hsu Fa (Samoa) Investment Ltd.,聯發科軟件(武漢)有限公司,子公司,"$ 920,496",(註 2),-,$ -,-,$ -,$ -
Hsu Fa (Samoa) Investment Ltd.,聯發科軟件(上海)有限公司,子公司,"$ 1,104,595",(註 2),-,$ -,-,$ -,$ -
MTKC Global Holdings Co. Limited,Gaintech Co. Limited,子公司,"$ 3,533,012",(註 2),-,$ -,-,$ -,$ -
旭展(香港)投資有限公司,Gaintech Co. Limited,子公司,"$ 14,481,389",(註 2),-,$ -,-,$ -,$ -
聯發利寶(香港)有限公司,Gaintech Co. Limited,子公司,"$ 912,073",(註 2),-,$ -,-,$ -,$ -
匯發國際(香港)有限公司,Gaintech Co. Limited,子公司,"$ 688,357",(註 2),-,$ -,-,$ -,$ -
MediaTek USA Inc.,聯發科技(股)有限公司,子公司,"$ 1,021,376",(註 1),-,$ -,-,"$ 1,021,376",$ -
MediaTek Wireless Finland Oy,MediaTek Singapore Pte. Ltd.,子公司,"$ 200,123",(註 1),-,$ -,-,"$ 83,272",$ -
翔發投資(股)公司,聯發資本(股)公司,子公司,"$ 857,070",(註 2),-,$ -,-,$ -,$ -
達發科技(股)公司,聯發科技(股)公司,子公司,"$ 615,973",(註 1),-,$ -,-,$ -,$ -
