"編號
(註1)",交易人名稱,交易往來對象,"與交易人
之關係
(註2)",交易往來情形,,,
,,,,科目,金額,交易條件,"占合併總營收或總資產
之比率(註3)"
0,聯發科技(股)公司,立錡科技(股)公司,1,其他應收款-關係人,"$ 1,189,747",依合約規定,0.17%
0,聯發科技(股)公司,達發科技(股)公司,1,其他應收款-關係人,"$ 1,390,449",依合約規定,0.19%
0,聯發科技(股)公司,達發科技(股)公司,1,應付帳款-關係人,"$ 615,973",依合約規定,0.09%
0,聯發科技(股)公司,MediaTek Singapore Pte. Ltd.,1,應收帳款-關係人,"$ 650,859",依合約規定,0.09%
0,聯發科技(股)公司,MediaTek Singapore Pte. Ltd.,1,營業收入,"$ 1,869,960",依合約規定,1.22%
0,聯發科技(股)公司,MediaTek Investment Singapore Pte. Ltd.,1,其他應收款-關係人,"$ 15,141,480",依合約規定,2.11%
0,聯發科技(股)公司,MediaTek Bangalore Private Limited,1,其他應付款項-關係人,"$ 305,346",依合約規定,0.04%
0,聯發科技(股)公司,MediaTek Bangalore Private Limited,1,研究發展費用,"$ 805,520",依合約規定,0.53%
0,聯發科技(股)公司,Gaintech Co. Limited,1,長期應付款-關係人,"$ 69,398,450",依合約規定,9.66%
0,聯發科技(股)公司,擎發通訊科技(合肥)有限公司,1,其他應收款-關係人,"$ 328,601",依合約規定,0.05%
0,聯發科技(股)公司,MediaTek USA Inc.,1,其他應付款項-關係人,"$ 1,021,376",依合約規定,0.14%
0,聯發科技(股)公司,MediaTek USA Inc.,1,研究發展費用,"$ 3,766,611",依合約規定,2.46%
0,聯發科技(股)公司,MediaTek North America Inc.,1,推銷費用,"$ 341,205",依合約規定,0.22%
1,MediaTek Singapore Pte. Ltd.,Gaintech Co. Limited,3,其他應收款-關係人,"$ 13,291,607",依合約規定,1.85%
1,MediaTek Singapore Pte. Ltd.,聯發科技(合肥)有限公司,3,研究發展費用,"$ 711,918",依合約規定,0.46%
1,MediaTek Singapore Pte. Ltd.,聯發科技(合肥)有限公司,3,預付款項-關係人,"$ 423,804",依合約規定,0.06%
1,MediaTek Singapore Pte. Ltd.,聯發博動科技(北京)有限公司,3,研究發展費用,"$ 789,524",依合約規定,0.51%
1,MediaTek Singapore Pte. Ltd.,聯發軟件設計(深圳)有限公司,3,研究發展費用,"$ 1,074,531",依合約規定,0.70%
1,MediaTek Singapore Pte. Ltd.,聯發芯軟件設計(成都)有限公司,3,研究發展費用,"$ 402,949",依合約規定,0.26%
1,MediaTek Singapore Pte. Ltd.,聯發科軟件(上海)有限公司,3,研究發展費用,"$ 496,836",依合約規定,0.32%
2,MediaTek Investment Singapore Pte. Ltd.,Gaintech Co. Limited,3,其他應收款-關係人,"$ 14,676,610",依合約規定,2.04%
3,聯發資本(股)公司,翔發投資(股)公司,3,其他應付款項-關係人,"$ 857,070",依合約規定,0.12%
4,Gaintech Co. Limited,Digimoc Holdings Limited,3,長期應付款-關係人,"$ 4,353,176",依合約規定,0.61%
4,Gaintech Co. Limited,Cloud Ranger Limited,3,長期應付款-關係人,"$ 830,125",依合約規定,0.12%
4,Gaintech Co. Limited,MTKC Global Holdings Co. Limited,3,長期應付款-關係人,"$ 3,533,012",依合約規定,0.49%
4,Gaintech Co. Limited,旭展(香港)投資有限公司,3,其他應付款項-關係人,"$ 14,481,389",依合約規定,2.02%
4,Gaintech Co. Limited,聯發利寶(香港)有限公司,3,其他應付款項-關係人,"$ 912,073",依合約規定,0.13%
4,Gaintech Co. Limited,匯發國際(香港)有限公司,3,其他應付款項-關係人,"$ 688,357",依合約規定,0.10%
5,聯發芯軟件設計(成都)有限公司,Hsu Fa (Samoa) Investment Ltd.,3,長期應付款-關係人,"$ 322,173",依合約規定,0.04%
6,聯發科軟件(武漢)有限公司,Hsu Fa (Samoa) Investment Ltd.,3,長期應付款-關係人,"$ 920,496",依合約規定,0.13%
7,聯發科軟件(上海)有限公司,Hsu Fa (Samoa) Investment Ltd.,3,長期應付款-關係人,"$ 1,104,595",依合約規定,0.15%
