帳列科目,有價證券,有價證券名稱,持有公司,期末,,,,
,,,,股數,帳面金額,"持股
比例",公允價值,備註
按攤銷後成本衡量之金融資產－非流動,債券,National Bank of Canada,旭展(香港)投資有限公司,-,"USD 18,000",-,"USD 17,998",-
按攤銷後成本衡量之金融資產－非流動,債券,NVIDIA CORP,旭展(香港)投資有限公司,-,"USD 32,909",-,"USD 31,845",-
按攤銷後成本衡量之金融資產－非流動,債券,Royal Bank of Canada,Hsu Fa (Samoa) Investment Ltd.,-,"CNY 455,000",-,"CNY 459,339",-
按攤銷後成本衡量之金融資產－非流動,債券,Royal Bank of Canada,旭展(香港)投資有限公司,-,"USD 127,031",-,"USD 128,084",-
按攤銷後成本衡量之金融資產－非流動,債券,Sumitomo Mitsui Banking Corporation,旭展(香港)投資有限公司,-,"USD 72,850",-,"USD 71,037",-
按攤銷後成本衡量之金融資產－非流動,債券,"Taiwan Semiconductor Manufacturing Co., Ltd.",旭展(香港)投資有限公司,-,"USD 76,427",-,"USD 74,232",-
按攤銷後成本衡量之金融資產－非流動,債券,"Taiwan Semiconductor Manufacturing Co., Ltd.",聯發科技(股)公司,-,"$ 500,492",-,"$ 489,293",註2
按攤銷後成本衡量之金融資產－非流動,債券,The Bank of Nova Scotia,旭展(香港)投資有限公司,-,"USD 121,775",-,"USD 121,282",-
按攤銷後成本衡量之金融資產－非流動,債券,"The Goldman Sachs Group, Inc.",Hsu Fa (Samoa) Investment Ltd.,-,"CNY 395,000",-,"CNY 399,359",-
按攤銷後成本衡量之金融資產－非流動,債券,"The Goldman Sachs Group, Inc.",旭展(香港)投資有限公司,-,"USD 17,118",-,"USD 16,494",-
按攤銷後成本衡量之金融資產－非流動,債券,UBS Group AG,旭展(香港)投資有限公司,-,"USD 19,646",-,"USD 19,688",-
按攤銷後成本衡量之金融資產－非流動,債券,Wells Fargo & Company,旭展(香港)投資有限公司,-,"USD 46,653",-,"USD 45,883",-
按攤銷後成本衡量之金融資產－非流動,債券,Westpac Banking Corporation,旭展(香港)投資有限公司,-,"USD 32,622",-,"USD 32,046",-
