投資公司名稱,被投資公司名稱,所在地區,主要營業項目,原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益(註6)",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
台達資本股份有限公司,碇基半導體股份有限公司,台灣,氮化鎵技術與解決方案,"$ 4 0,000","$ 4 0,000","4 ,000,000",7 .25,"$ 1 3,480","($ 5 5,864)","($ 4 ,050)",(註18)
"Delta International Holding
Limited B.V.","Delta Electronics (Thailand)
Public Company Limited",泰國,"電源供應器、其他電子設備及
零組件之製造及出口","1 3,639,121","1 3,639,121","1,830,611,700
(註22)",1 4.68,"1 9,030,387","5 ,294,085","7 15,574",(註1及註13)
"Delta International Holding
Limited B.V.",DEI Logistics (USA) Corp.,美國,提供海外發貨倉儲作業服務,"9 5,331","9 5,331","1 ,000,000",1 00.00,"2 85,848","4 ,792","4 ,792",(註1)
"Delta International Holding
Limited B.V.","Delta Electronics (Japan), Inc.",日本,"經營電源、視訊、零組件、機
電等產品及材料之買賣","2 ,601,543","2 ,601,543","1 19,200",1 00.00,"3 ,899,950","8 0,309","8 0,309",(註1)
"Delta International Holding
Limited B.V.","Digital Projection International
Limited",英國,投資事業,"8 67,529","8 67,529","6 1,789,874",1 00.00,"1 68,732","( 2 3,069)","( 2 3,972)",(註1)
"Delta International Holding
Limited B.V.","Delta Electronics (Switzerland)
AG",瑞士,"投資事業、經營電子產品之研
發及買賣","6 75,536","6 75,536","1 0,000",1 00.00,"1 ,061,403","1 03,783","1 02,088",(註1)
"Delta International Holding
Limited B.V.","DELTA ELECTRONICS HOLDING (USA)
INC.",美國,投資事業,"2 ,267,566","2 ,267,566","1 ,060,624",1 00.00,"3 ,889,673","1 86,872","1 86,867",(註1)
"Delta International Holding
Limited B.V.",DELTA ELECTRONICS (NORWAY) AS,挪威,"經營電源供應器等之研發及銷
售業務","1 6,508,446","1 6,508,446","9 3,531,101",1 00.00,"1 2,081,456","1 54,892","3 7,088",(註1)
"Delta International Holding
Limited B.V.","Delta Intelligent Building
Technologies (Canada) INC.",加拿大,提供樓宇管理與控制解決方案,"2 ,490,375","2 ,490,375","7 5,000,000",1 00.00,"3 ,300,728","3 ,294","3 ,294",(註1)
"Delta International Holding
Limited B.V.",March Networks Holdings Ltd.,加拿大,投資事業,"4 ,136,060","4 ,136,060","1 0,000",1 00.00,"3 ,808,304","( 3 ,711)","( 3 4,239)",(註1)
"Delta International Holding
Limited B.V.",UI Acquisition Holding Co.,美國,投資事業,"3 ,101,347","3 ,101,347",3 34,1 00.00,"1 ,230,612","( 7 2,930)","( 7 2,930)",(註1)
"Delta International Holding
Limited B.V.",Delta America Ltd.,美國,投資事業,"1 ,714,422","1 ,714,422","1 8,374,182",8 9.74,"5 ,679,074","3 10,653","2 78,539",(註1及註9)
"Delta International Holding
Limited B.V.",Trihedral Engineering Limited,加拿大,圖控軟體和相關工程服務,"1 ,184,573","1 ,184,573","5 1,495",1 00.00,"1 ,564,295","2 9,116","2 0,917",(註1)
"Delta International Holding
Limited B.V.","Delta Intelligent Building
Technologies (USA), LLC",美國,"專用照明系統及設施之設計及
生產","3 ,244,759","3 ,244,759",-,1 00.00,"3 ,236,372",6 71,"( 2 2,448)",(註1)
"Delta International Holding
Limited B.V.",TB&C Holding GmbH,德國,投資事業,"6 ,087,245","5 ,937,638",2 1,1 00.00,"4 ,388,438","( 5 4,585)","( 8 5,020)",(註1)
"Delta International Holding
Limited B.V.","DELTA ELECTRONICS (SOUTH AFRICA)
(PTY) LTD",南非,經營電子產品之買賣,"1 3,645","1 3,645",2 00,1 00.00,"1 0,212","( 3 ,293)","( 3 ,293)",(註1)
Delta America Ltd.,"Delta Electronics (Americas)
Ltd.",美國,經營電子零組件之銷售業務,"2 50,840","2 50,840","2 50,000",1 00.00,"3 ,775,243","2 42,613","2 42,613",(註15)
"Digital Projection
International Ltd.","Digital Projection Holdings
Limited",英國,投資事業,"6 71,814","6 71,814","5 0,118,547",1 00.00,"6 4,144","( 2 3,069)","( 2 3,069)",(註17)
"Delta Electronics (H.K.)
Ltd.","Delta Electronics International
Mexico, S.A. de C.V.",墨西哥,"工業自動化產品及通訊設備用
電源管理系統之銷售","3 25,302","3 25,302","2 ,733,483",1 00.00,"2 71,326","5 ,027","5 ,027",(註2)
"Delta Electronics
(Netherlands) B.V.",Delta Electronics (H.K.) Ltd.,香港,投資事業及提供作業管理服務,"1 0,904,425","1 0,904,425","2 ,549,297,600",1 00.00,"3 2,547,676","1 ,298,346","1 ,298,346",(註8)
"Delta Electronics
(Netherlands) B.V.",Drake Investment (HK) Limited,香港,投資事業,"9 ,004,078","9 ,004,078","1 ,081,056,306",1 00.00,"8 ,250,518","7 5,786","7 4,537",(註8)
