持有之公司,有價證券種類及名稱,"與有價證券發行
人之關係",帳列科目,期 末,,,,備註
,,,,股 數,帳面金額,持股比例,公允價值,
台達電子工業股份有限公司,聯合再生能源股份有限公司 普通股,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"31,294,379","$ 285,092",1.92%,"$ 285,092",
台達電子工業股份有限公司,立端科技股份有限公司 普通股,無,"透過其他綜合損益按公允價值衡量之金融資產及透過損益按公允價
值衡量之金融資產","26,893,540","2,549,508",18.39%,"2,549,508",
台達電子工業股份有限公司,鋇泰電子陶瓷股份有限公司 普通股等,無,"透過其他綜合損益按公允價值衡量之金融資產及透過損益按公允價
值衡量之金融資產",-,"123,949",-,"123,949",
台達資本股份有限公司,長榮航太科技股份有限公司 普通股,無,透過損益按公允價值衡量之金融資產-流動,"2,390,000","234,459",0.64%,"234,459",
台達資本股份有限公司,同欣電子工業股份有限公司 普通股,無,透過損益按公允價值衡量之金融資產-流動,"1,157,557","127,910",0.55%,"127,910",
台達資本股份有限公司,復盛應用科技股份有限公司 普通股,無,透過損益按公允價值衡量之金融資產-流動,"819,000","285,422",0.60%,"285,422",
台達資本股份有限公司,宏碁資訊服務股份有限公司 普通股,無,透過損益按公允價值衡量之金融資產-流動,"490,000","112,210",1.18%,"112,210",
台達資本股份有限公司,攸泰科技股份有限公司 普通股,無,透過損益按公允價值衡量之金融資產-流動,"3,754,311","214,747",4.37%,"214,747",
台達資本股份有限公司,億豐綜合工業股份有限公司 普通股,無,透過損益按公允價值衡量之金融資產-流動,"403,043","158,799",0.14%,"158,799",
台達資本股份有限公司,"WorkWave Investor 2, LP 普通股",無,透過損益按公允價值衡量之金融資產-非流動,139,"129,400",0.24%,"129,400",
台達資本股份有限公司,兆聯實業股份有限公司 普通股等,無,透過損益按公允價值衡量之金融資產,-,"1,962,723",0.00%,"1,962,723",
Delta Electronics (Netherlands) B.V.,"Noda RF Technologies Co., Ltd. 普通股等",無,透過其他綜合損益按公允價值衡量之金融資產-非流動,-,"59,395",-,"59,395",
乾坤科技股份有限公司,"Susumu Holdings Co., Ltd. 普通股",無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"2 00,000","104,081",10.87%,"104,081",
"Delta Electronics (Japan), Inc.",Macy Inc. 普通股,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"7 4,000,000","27,655",19.79%,"27,655",
"Delta America, Ltd.","VPT, Inc. 普通股",無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"8 60,000","5,811",17.52%,"5,811",
Delta Electronics (H.K.) Ltd.,浙江科恩特電機科技有限公司,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,-,"377,849",19.00%,"377,849",
台達電子(平潭)有限公司,平潭高新投資發展股份有限公司,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,-,"6,868",15.00%,"6,868",
"Delta Electronics Int'l (Singapore) Pte.
Ltd.",Zero-Error Systems Pte Ltd 特別股,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"1 ,761,804","99,615",12.11%,"99,615",
晶睿通訊股份有限公司,Kneron Holding Corporation 特別股,無,透過損益按公允價值衡量之金融資產-非流動,"1 ,310,003","254,099",1.89%,"254,099",
冠信電腦股份有限公司,瑞紅科技股份有限公司 普通股,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"5 00,000",642,2.38%,642,
Delta International Holding Limited B.V.,Neura Robotics GmbH,無,透過其他綜合損益按公允價值衡量之金融資產-非流動,"2 ,442","346,821",1.38%,"346,821",
