進（銷）貨之公司,交易對象名稱,關係,交易情形,,,,"交易條件與一般交易不同
之情形及原因",,應收（付）票據、帳款,,備註
,,,進（銷）貨,金額,"佔總進（銷）貨
之比率",授信期間,單價,"授信
期間",餘額,"佔總應收
（付）票據、帳款
之比率",
"Delta Electronics (Slovakia), s.r.o.","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"$ 3 42,690",4 0.06,月結70天,,,"$ 4 25,960",3 9.40,
"Delta Electronics (Slovakia), s.r.o.","Delta Electronics (Thailand) Public
Company Limited",聯屬公司,營業收入,"2 39,649",2 7.97,月結70天,,,"2 59,085",2 3.97,
Eltek s.r.o.,DELTA ELECTRONICS (NORWAY) AS,聯屬公司,營業收入,"4 60,624",4 9.73,月結70天,,,"2 00,625",1 9.10,
Eltek s.r.o.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"5 18,699",5 6.12,月結70天,,,"6 55,226",6 2.39,
"Delta Electronics (Thailand) Public
Company Limited","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"2 ,417,549",6 .69,月結70天,,,"2 ,433,924",7 .26,
"Delta Electronics (Thailand) Public
Company Limited",台達電子工業股份有限公司,最終母公司,營業收入,"4 67,612",1 .29,月結70天,,,"4 28,976",1 .28,
"Delta Electronics (Thailand) Public
Company Limited",DET Logistics (USA) Corporation,聯屬公司,營業收入,"1 1,907,051",3 2.96,貨到月結90天,,,"1 7,259,188",5 1.51,
"Delta Electronics (Thailand) Public
Company Limited",Delta Electronics (Americas) Ltd.,聯屬公司,營業收入,"2 18,477",0 .61,月結70天,,,"2 17,537",0 .65,
Delta Electronics (Americas) Ltd.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"3 82,983",5 .00,月結70天,,,"1 0,473",0 .31,
Delta Electronics (Americas) Ltd.,"Delta Electronics (Thailand) Public
Company Limited",聯屬公司,營業收入,"2 55,511",3 .34,月結70天,,,"9 3,320",2 .78,
March Networks Corporation,"March Networks, Inc.",聯屬公司,營業收入,"4 41,169",9 2.30,月結30天,註,註,"3 61,808",5 9.98,
晶睿通訊股份有限公司,"Vivotek USA, INC.",聯屬公司,營業收入,"1 16,668",6 .00,月結75天,註,註,"5 3,431",5 .00,
