帳列應收款項之公司,交易對象名稱,關係,"應收關係人款項
餘額（註1）",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額
(註2)",提列備抵呆帳金額
,,,,,金額,處理方式,,
中達電子(江蘇)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"$ 5 ,524,511",9 .40,$ -,,"$ 1 ,699,359",
台達電子企業管理(上海)有限公司,中達電通股份有限公司,聯屬公司,"4 ,623,867",3 .59,-,,"1 ,266,913",
台達電子企業管理(上海)有限公司,台達電子(平潭)有限公司,聯屬公司,"5 89,644",2 .57,-,,"2 65,493",
台達電子企業管理(上海)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"4 86,257",5 .55,-,,-,
台達電子企業管理(上海)有限公司,"Delta Electronics (Thailand) Public
Company Limited",聯屬公司,"2 67,560",4 .03,-,,"7 8,322",
中達電子(蕪湖)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"8 48,303",6 .18,"4 2,733",,"5 84,408",
台達電子(郴州)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,"1 69,185",4 .11,-,,"5 2,868",
台達電子(郴州)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"7 86,258",5 .94,-,,"2 17,932",
郴州台達科技有限公司,台達電子(東莞)有限公司,聯屬公司,"3 79,135",1 0.66,-,,"1 67,433",
郴州台達科技有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 16,815",8 .11,-,,-,
台達電子(重慶)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 21,597",1 0.09,-,,"1 6,603",
乾坤科技股份有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 96,747",-,-,,"1 8,301",
乾坤科技股份有限公司,台達電子工業股份有限公司,最終母公司,"7 86,326",3 .67,-,,"2 61,078",
吳江華豐電子科技有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 ,303,056",1 0.03,-,,"1 ,232,260",
華豐電子科技(蕪湖)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"4 98,650",9 .98,-,,"4 98,434",
Delta Energy Systems (Germany) GmbH,"Delta Electronics (Thailand) Public
Company Limited",聯屬公司,"4 08,787",1 0.26,1 7,,"1 50,436",
Delta Electronics India Pvt. Ltd.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 ,066,091",3 .67,"5 ,346",,"4 ,517",
