"編號
(註1)",交易人名稱,交易往來對象,"與交易人之關係
(註2)",交易往來情形,,,
,,,,科目,"金額
(註7)",交易條件,"佔合併總營收或
總資產之比率
(註3)"
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.","Delta Electronics (Thailand) Public Company
Limited",聯屬公司,營業收入,"$ 1 ,508,751",(註4),1.27
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",台達電子工業股份有限公司,最終母公司,營業收入,"6 ,935,385",(註4),5.83
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DEI Logistics (USA) Corp.,聯屬公司,營業收入,"4 ,696,584",(註5),3.95
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DELTA ELECTRONICS (USA) INC.,聯屬公司,營業收入,"1 ,985,281",(註4),1.67
9,"Delta Electronics (Thailand) Public Company
Limited",Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"2 ,417,549",(註4),2.03
9,"Delta Electronics (Thailand) Public Company
Limited",DET Logistics (USA) Corporation,聯屬公司,營業收入,"1 1,907,051",(註5),10.01
1,台達電子(東莞)有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,應收帳款,"5 ,935,870",(註4),1.05
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",台達電子工業股份有限公司,最終母公司,應收帳款,"7 ,229,235",(註4),1.28
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DEI Logistics (USA) Corp.,聯屬公司,應收帳款,"7 ,912,498",(註5),1.40
9,"Delta Electronics (Thailand) Public Company
Limited",DET Logistics (USA) Corporation,聯屬公司,應收帳款,"1 7,259,188",(註5),3.05
10,Delta International Holding Limited B.V.,Delta Electronics (H.K.) Ltd.,聯屬公司,其他應收款-關係人,"1 4,373,399",(註6),2.54
11,Delta Component Limited B.V.,Delta Electronics (H.K.) Ltd.,聯屬公司,其他應收款-關係人,"1 0,578,553",(註6),1.87
