投資公司名稱,被投資公司名稱,"所在
地區",主要營業項目,原始投資金額,,期末持有,,,"被投資公司
本期(損)益","本期認列之
投資(損)益",備註
,,,,本期期末,去年年底,單位及股數,比率,帳面金額,,,
MLINK INVESTMENTS-FZCO,Mlink Egypt,埃及,研發,AED 7,AED -,20,100%,AED -,AED 28,-,註1及註2
MediaTek Global Holdings Limited,旭展(香港)投資有限公司,香港,投資業務,"USD 2,406,283","USD 2,406,283","2,383,399,545",100%,"USD 2,425,246","USD 26,332",-,註1
MediaTek Global Holdings Limited,Digimoc Holdings Limited,英屬維京群島,投資業務,"USD 1,322,981","USD 1,322,981","1,550,638,880",100%,"USD 1,443,095","USD (41,927)",-,註1
MediaTek Global Holdings Limited,MTKC Global Holdings Co. Limited,英屬維京群島,投資業務,"USD 355,354","USD 355,354",12,100%,"USD 361,158",USD 777,-,註1
MTKC Global Holdings Co. Limited,聯發利寶(香港)有限公司,香港,投資業務,"USD 81,998","USD 81,998","85,050,000",100%,"USD 99,033",USD 262,-,註1
MTKC Global Holdings Co. Limited,Amiti IV Quantum L.P.,美國,投資業務,"USD 2,000","USD 2,000",-,92%,"USD 1,975",USD (1),-,-
聯發科香港投資有限公司,Hsu Fa (Samoa) Investment Ltd.,薩摩亞,投資業務,"USD 543,969","USD 543,969","3,596,558,036",100%,"USD 549,854","USD 3,968",-,註1
Gold Rich International (Samoa) Limited,匯發國際(香港)有限公司,香港,投資業務,"USD 4,190","USD 4,190","4,190,000",100%,"USD 133,299","USD (42,421)",-,註1
MTK Wireless Limited,MediaTek Wireless Finland Oy,芬蘭,研發,"GBP 4,733","GBP 4,733","1,000",100%,"GBP 12,147",GBP 450,-,註1
MTK Wireless Limited,MStar France SAS,法國,研發,"GBP 22,406","GBP 22,406","458,900",100%,"GBP 4,101",GBP (6),-,註1
MTK Wireless Limited,MediaTek North America Inc.,美國,銷售支援,"GBP 4,079","GBP 4,079","10,000",100%,"GBP 6,635",GBP 411,-,註1
MTK Wireless Limited,MediaTek Poland sp. z o.o.,波蘭,技術服務,GBP 604,GBP 604,100,100%,GBP 710,GBP 10,-,註1
MTK Wireless Limited,MediaTek Sweden AB,瑞典,研發,"GBP 19,362","GBP 19,362","1,008,371",100%,"GBP 12,250",GBP 69,-,註1
MTK Wireless Limited,MediaTek Technology USA Inc.,美國,研發,GBP 239,GBP 239,"1,000",100%,GBP 279,GBP 16,-,註1
MTK Wireless Limited,MediaTek USA Inc.,美國,研發,"GBP 38,800","GBP 38,800","111,815",100%,"GBP 162,552","GBP 1,599",-,註1
MediaTek Wireless Finland Oy,MediaTek Germany GmbH,德國,技術服務,EUR 500,EUR 500,"500,000",100%,"EUR 1,035",EUR 61,-,註1
翔發投資(股)公司,常憶科技(股)公司,台灣,研發,"$ 637,932","$ 637,932","91,936,991",100%,"$ 595,978","$ 58,354",-,註1
翔發投資(股)公司,聯發創新基地(股)公司,台灣,研發,$ 800,$ 800,"80,000",100%,"$ 13,911",$ 568,-,註1
翔發投資(股)公司,聚星電子(股)公司,台灣,技術服務,"$ 74,539","$ 74,539","112,000,000",100%,"$ 1,072,606","$ (32,627)",-,註1
翔發投資(股)公司,Intelligo Technology Inc.,開曼群島,研發、生產及銷售,"$ 474,950","$ 178,805","1,701,375",4%,"$ 475,415","$ 72,717",-,-
翔發投資(股)公司,矽實科技(股)公司,台灣,研發,"$ 18,189","$ 18,189","25,001",20%,"$ 15,419",$ (370),-,-
立錡科技(股)公司,Richtek Europe Holding B.V.,荷蘭,投資業務,"$ 84,724","$ 84,724","2,000,000",100%,"$ 43,866",$ 4,-,註1
立錡科技(股)公司,Richtek Holding International Limited,英屬維京群島,投資業務,"$ 292,264","$ 292,264","30,000",100%,"$ 64,038","$ 3,262",-,註1
立錡科技(股)公司,Richtek Japan Inc.,日本,研發及技術服務,"$ 41,893","$ 41,893","1,900",100%,"$ 48,486","$ 3,483",-,註1
立錡科技(股)公司,Richtek Korea LLC.,南韓,研發及技術服務,"$ 26,696","$ 26,696","10,000",100%,"$ 33,814","$ 5,628",-,註1
立錡科技(股)公司,"Richtek USA, Inc.",美國,銷售、研發及技術服務,"$ 133,470","$ 133,470","1,000,000",100%,"$ 303,295","$ (4,497)",-,註1
立錡科技(股)公司,Richtek Europe B.V.,荷蘭,行銷服務,"$ 25,348","$ 25,348","1,500,000",100%,"$ 18,228",$ 419,-,註1
立錡科技(股)公司,立敏電子(股)公司,台灣,研發、生產及銷售,"$ 278,032","$ 278,032","26,963,153",82%,"$ 54,038","$ 2,516",-,註1
達發科技(股)公司,九暘電子(股)公司,台灣,研發、生產及銷售,"$ 1,947,085","$ 1,947,085","28,213,800",29%,"$ 1,947,744","$ (8,834)",-,註1
達發科技(股)公司,Airoha Technology India Private Limited,印度,研發,"$ 37,312","$ 37,312","9,500,000",100%,"$ 48,544","$ 1,487",-,註1
達發科技(股)公司,Airoha Technology USA Inc.,美國,研發,"$ 12,563","$ 12,563","10,000",100%,"$ 22,802",$ 913,-,註1
達發科技(股)公司,Airoha Technology (HK) Limited,香港,投資、研發、生產及銷售,"$ 2,214,341","$ 2,214,341","48,034,520",100%,"$ 3,509,091","$ 195,431",-,註1
達發科技(股)公司,Shadow Investment Limited,薩摩亞,投資業務,$ -,$ -,"12,360,000",100%,"$ 1,153",$ -,-,註1
達發科技(股)公司,Airoha (Cayman) Inc.,開曼群島,投資業務,"$ 55,183","$ 55,183","4,253,337",100%,"$ 199,904","$ 7,304",-,註1
達發科技(股)公司,亞信電子(股)公司,台灣,研發、生產及銷售,"$ 495,875","$ 495,875","12,396,396",20%,"$ 572,384","$ 71,445",-,-
達發科技(蘇州)有限公司,EcoNet Limited,英屬維京群島,投資及銷售,"CNY 2,640","CNY 2,640","400,000",100%,"CNY 37,140",CNY 389,-,註1
Airoha (Cayman) Inc.,Airoha Technology India Private Limited,印度,研發,USD 0,USD 0,95,0%,USD 0,USD 49,-,註1
